day_type,hour_of_day,category,item,qty_active
November,0,A,LED Light,1.0
November,0,A,Ceiling Fan,1.0
November,0,A,Television,0.0
November,0,A,Iron,0.0
November,0,A,Refrigerator,0.25
November,0,A,Washing Machine,0.0
November,0,B,LED Light,0.0
November,0,B,Ceiling Fan,1.0
November,0,B,Television,0.0
November,0,B,Iron,0.0
November,0,B,Refrigerator,0.25
November,0,C,LED Light,0.0
November,0,C,Ceiling Fan,0.0
November,0,Misc,Hospital,0.7
November,0,Misc,Street Light,40.0
November,0,Misc,Cold Storage,3.0
November,0,Misc,School,0.0
November,0,Misc,Others,0.2
November,1,A,LED Light,1.0
November,1,A,Ceiling Fan,1.0
November,1,A,Television,0.0
November,1,A,Iron,0.0
November,1,A,Refrigerator,0.25
November,1,A,Washing Machine,0.0
November,1,B,LED Light,0.0
November,1,B,Ceiling Fan,1.0
November,1,B,Television,0.0
November,1,B,Iron,0.0
November,1,B,Refrigerator,0.25
November,1,C,LED Light,0.0
November,1,C,Ceiling Fan,0.0
November,1,Misc,Hospital,0.7
November,1,Misc,Street Light,40.0
November,1,Misc,Cold Storage,3.0
November,1,Misc,School,0.0
November,1,Misc,Others,0.2
November,2,A,LED Light,1.0
November,2,A,Ceiling Fan,1.0
November,2,A,Television,0.0
November,2,A,Iron,0.0
November,2,A,Refrigerator,0.25
November,2,A,Washing Machine,0.0
November,2,B,LED Light,0.0
November,2,B,Ceiling Fan,1.0
November,2,B,Television,0.0
November,2,B,Iron,0.0
November,2,B,Refrigerator,0.25
November,2,C,LED Light,0.0
November,2,C,Ceiling Fan,0.0
November,2,Misc,Hospital,0.7
November,2,Misc,Street Light,40.0
November,2,Misc,Cold Storage,5.0
November,2,Misc,School,0.0
November,2,Misc,Others,0.2
November,3,A,LED Light,1.0
November,3,A,Ceiling Fan,1.0
November,3,A,Television,0.0
November,3,A,Iron,0.0
November,3,A,Refrigerator,0.25
November,3,A,Washing Machine,0.0
November,3,B,LED Light,0.0
November,3,B,Ceiling Fan,1.0
November,3,B,Television,0.0
November,3,B,Iron,0.0
November,3,B,Refrigerator,0.25
November,3,C,LED Light,0.0
November,3,C,Ceiling Fan,0.0
November,3,Misc,Hospital,0.7
November,3,Misc,Street Light,40.0
November,3,Misc,Cold Storage,5.0
November,3,Misc,School,0.0
November,3,Misc,Others,0.2
November,4,A,LED Light,1.0
November,4,A,Ceiling Fan,1.0
November,4,A,Television,0.0
November,4,A,Iron,0.0
November,4,A,Refrigerator,0.25
November,4,A,Washing Machine,0.0
November,4,B,LED Light,0.0
November,4,B,Ceiling Fan,1.0
November,4,B,Television,0.0
November,4,B,Iron,0.0
November,4,B,Refrigerator,0.25
November,4,C,LED Light,0.0
November,4,C,Ceiling Fan,0.0
November,4,Misc,Hospital,0.7
November,4,Misc,Street Light,25.0
November,4,Misc,Cold Storage,5.0
November,4,Misc,School,0.0
November,4,Misc,Others,0.2
November,5,A,LED Light,2.0
November,5,A,Ceiling Fan,2.0
November,5,A,Television,0.0
November,5,A,Iron,0.0
November,5,A,Refrigerator,0.25
November,5,A,Washing Machine,0.0
November,5,B,LED Light,1.0
November,5,B,Ceiling Fan,2.0
November,5,B,Television,0.0
November,5,B,Iron,0.0
November,5,B,Refrigerator,0.25
November,5,C,LED Light,1.0
November,5,C,Ceiling Fan,0.0
November,5,Misc,Hospital,0.7
November,5,Misc,Street Light,15.0
November,5,Misc,Cold Storage,5.0
November,5,Misc,School,0.0
November,5,Misc,Others,0.2
November,6,A,LED Light,2.0
November,6,A,Ceiling Fan,1.0
November,6,A,Television,1.0
November,6,A,Iron,0.0
November,6,A,Refrigerator,0.25
November,6,A,Washing Machine,0.0
November,6,B,LED Light,1.0
November,6,B,Ceiling Fan,1.0
November,6,B,Television,1.0
November,6,B,Iron,0.0
November,6,B,Refrigerator,0.25
November,6,C,LED Light,1.0
November,6,C,Ceiling Fan,0.0
November,6,Misc,Hospital,0.7
November,6,Misc,Street Light,5.0
November,6,Misc,Cold Storage,5.0
November,6,Misc,School,1.0
November,6,Misc,Others,0.2
November,7,A,LED Light,1.0
November,7,A,Ceiling Fan,1.0
November,7,A,Television,1.0
November,7,A,Iron,0.0
November,7,A,Refrigerator,0.25
November,7,A,Washing Machine,0.0
November,7,B,LED Light,1.0
November,7,B,Ceiling Fan,1.0
November,7,B,Television,1.0
November,7,B,Iron,0.0
November,7,B,Refrigerator,0.25
November,7,C,LED Light,1.0
November,7,C,Ceiling Fan,0.0
November,7,Misc,Hospital,1.0
November,7,Misc,Street Light,0.0
November,7,Misc,Cold Storage,5.0
November,7,Misc,School,1.0
November,7,Misc,Others,1.0
November,8,A,LED Light,1.0
November,8,A,Ceiling Fan,1.0
November,8,A,Television,1.0
November,8,A,Iron,0.0
November,8,A,Refrigerator,0.25
November,8,A,Washing Machine,0.0
November,8,B,LED Light,1.0
November,8,B,Ceiling Fan,1.0
November,8,B,Television,1.0
November,8,B,Iron,0.0
November,8,B,Refrigerator,0.25
November,8,C,LED Light,0.0
November,8,C,Ceiling Fan,0.0
November,8,Misc,Hospital,1.0
November,8,Misc,Street Light,0.0
November,8,Misc,Cold Storage,5.0
November,8,Misc,School,1.0
November,8,Misc,Others,1.0
November,9,A,LED Light,1.0
November,9,A,Ceiling Fan,1.0
November,9,A,Television,1.0
November,9,A,Iron,0.0
November,9,A,Refrigerator,0.25
November,9,A,Washing Machine,0.0
November,9,B,LED Light,1.0
November,9,B,Ceiling Fan,1.0
November,9,B,Television,1.0
November,9,B,Iron,0.0
November,9,B,Refrigerator,0.25
November,9,C,LED Light,0.0
November,9,C,Ceiling Fan,0.0
November,9,Misc,Hospital,1.0
November,9,Misc,Street Light,0.0
November,9,Misc,Cold Storage,5.0
November,9,Misc,School,1.0
November,9,Misc,Others,1.0
November,10,A,LED Light,1.0
November,10,A,Ceiling Fan,1.0
November,10,A,Television,1.0
November,10,A,Iron,0.0
November,10,A,Refrigerator,0.25
November,10,A,Washing Machine,0.0
November,10,B,LED Light,1.0
November,10,B,Ceiling Fan,1.0
November,10,B,Television,1.0
November,10,B,Iron,0.0
November,10,B,Refrigerator,0.25
November,10,C,LED Light,1.0
November,10,C,Ceiling Fan,1.0
November,10,Misc,Hospital,1.0
November,10,Misc,Street Light,0.0
November,10,Misc,Cold Storage,5.0
November,10,Misc,School,1.0
November,10,Misc,Others,1.0
November,11,A,LED Light,1.0
November,11,A,Ceiling Fan,1.0
November,11,A,Television,1.0
November,11,A,Iron,0.0
November,11,A,Refrigerator,0.25
November,11,A,Washing Machine,0.0
November,11,B,LED Light,1.0
November,11,B,Ceiling Fan,1.0
November,11,B,Television,1.0
November,11,B,Iron,0.0
November,11,B,Refrigerator,0.25
November,11,C,LED Light,1.0
November,11,C,Ceiling Fan,1.0
November,11,Misc,Hospital,1.0
November,11,Misc,Street Light,0.0
November,11,Misc,Cold Storage,5.0
November,11,Misc,School,0.35
November,11,Misc,Others,1.0
November,12,A,LED Light,1.0
November,12,A,Ceiling Fan,1.0
November,12,A,Television,0.0
November,12,A,Iron,0.0
November,12,A,Refrigerator,0.25
November,12,A,Washing Machine,0.0
November,12,B,LED Light,1.0
November,12,B,Ceiling Fan,1.0
November,12,B,Television,0.0
November,12,B,Iron,0.0
November,12,B,Refrigerator,0.25
November,12,C,LED Light,1.0
November,12,C,Ceiling Fan,1.0
November,12,Misc,Hospital,1.0
November,12,Misc,Street Light,0.0
November,12,Misc,Cold Storage,4.0
November,12,Misc,School,1.0
November,12,Misc,Others,1.0
November,13,A,LED Light,1.0
November,13,A,Ceiling Fan,1.0
November,13,A,Television,0.0
November,13,A,Iron,0.0
November,13,A,Refrigerator,0.25
November,13,A,Washing Machine,0.0
November,13,B,LED Light,1.0
