hour_of_year,ghi_wm2
1,0.0
2,0.0
3,17.7
4,174.1
5,348.51
6,523.16
7,626.06
8,627.56
9,641.91
10,480.56
11,341.71
12,188.7
13,34.59
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,13.55
28,158.75
29,301.96
30,426.81
31,354.35
32,384.6
33,264.85
34,245.2
35,155.45
36,87.0
37,27.2
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,14.35
52,186.26
53,381.26
54,543.61
55,652.21
56,693.21
57,662.16
58,566.16
59,416.66
60,228.51
61,42.79
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,14.95
76,180.91
77,353.71
78,520.31
79,637.61
80,684.91
81,633.41
82,555.76
83,401.66
84,226.51
85,43.66
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,13.05
100,170.95
101,345.66
102,515.66
103,552.16
104,641.81
105,596.01
106,507.91
107,385.76
108,225.46
109,44.96
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,13.05
124,181.46
125,348.11
126,492.01
127,630.31
128,672.46
129,638.96
130,527.21
131,407.41
132,228.86
133,47.01
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,12.55
148,178.56
149,363.66
150,509.26
151,535.66
152,487.31
153,451.56
154,519.71
155,394.26
156,167.55
157,34.91
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,12.8
172,190.91
173,391.46
174,569.66
175,685.61
176,734.91
177,711.46
178,616.01
179,459.11
180,259.66
181,55.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,13.1
196,199.26
197,404.86
198,576.31
199,692.36
200,739.91
201,714.56
202,618.56
203,461.56
204,262.06
205,56.47
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,12.65
220,195.21
221,380.51
222,443.06
223,556.36
224,702.16
225,682.71
226,583.81
227,436.31
228,245.06
229,54.62
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,12.3
244,187.51
245,384.01
246,551.61
