hour_of_year,wind_speed_ms
1,4.6
2,4.93
3,5.28
4,5.56
5,5.86
6,6.2
7,6.63
8,7.18
9,7.86
10,8.2
11,7.76
12,7.12
13,6.49
14,5.93
15,5.63
16,5.23
17,4.68
18,5.12
19,5.45
20,5.53
21,5.46
22,5.38
23,5.36
24,5.38
25,5.4
26,5.52
27,5.72
28,5.86
29,5.91
30,5.96
31,6.16
32,6.59
33,6.86
34,6.75
35,5.82
36,4.86
37,4.0
38,3.34
39,2.92
40,2.81
41,2.7
42,3.46
43,4.13
44,4.59
45,4.69
46,4.56
47,4.3
48,3.98
49,3.71
50,3.53
51,3.47
52,3.5
53,3.6
54,3.69
55,3.71
56,4.38
57,4.28
58,3.88
59,3.18
60,2.46
61,1.8
62,1.51
63,1.75
64,2.01
65,2.08
66,2.13
67,1.89
68,1.54
69,1.2
70,1.0
71,1.08
72,1.35
73,1.63
74,1.88
75,2.16
76,2.31
77,2.25
78,2.1
79,1.95
80,1.56
81,1.79
82,2.24
83,2.22
84,2.13
85,2.35
86,2.83
87,3.13
88,3.3
89,2.95
90,3.16
91,3.1
92,2.92
93,2.62
94,2.32
95,2.0
96,1.72
97,1.48
98,1.12
99,0.96
100,1.13
101,1.27
102,1.59
103,2.01
104,2.35
105,1.7
106,1.28
107,1.79
108,2.21
109,2.41
110,2.83
111,3.15
112,3.32
113,2.91
114,2.95
115,2.72
116,2.52
117,2.32
118,2.2
119,2.05
120,1.84
121,1.74
122,1.85
123,2.19
124,2.49
125,2.67
126,2.8
127,3.05
128,3.79
129,3.24
130,2.14
131,1.35
132,1.11
133,1.12
134,1.34
135,1.43
136,1.4
137,1.2
138,0.97
139,0.66
140,1.02
141,1.32
142,1.46
143,1.66
144,1.96
145,2.4
146,3.0
147,3.69
148,4.89
149,5.71
150,6.18
151,6.53
152,6.99
153,7.09
154,6.91
155,5.99
156,4.91
157,4.25
158,3.92
159,3.72
160,3.46
161,2.58
162,2.71
163,2.79
164,2.62
165,2.29
166,2.14
167,2.32
168,2.75
169,3.32
170,3.88
171,4.35
172,4.63
173,4.79
174,4.8
175,4.51
176,4.42
177,3.85
178,2.59
179,1.11
180,0.27
181,0.93
182,1.31
183,1.36
184,1.35
185,1.26
186,0.99
187,0.28
188,0.8
189,1.63
190,2.26
191,2.75
192,3.11
193,3.33
194,3.48
195,3.57
196,3.59
197,3.59
198,3.61
199,3.5
200,3.81
201,3.73
202,3.64
203,3.54
204,3.54
205,3.54
206,3.62
207,3.52
208,2.84
209,1.93
210,1.66
211,1.74
212,2.31
213,3.14
214,3.91
215,4.6
216,4.95
217,4.94
