model,wind_speed_ms,power_kw
LTW42-250,0.0,0.0
LTW42-250,0.5,0.0
LTW42-250,1.0,0.0
LTW42-250,1.5,0.0
LTW42-250,2.0,0.0
LTW42-250,2.5,3.0
LTW42-250,3.0,7.0
LTW42-250,3.5,14.5
LTW42-250,4.0,22.0
LTW42-250,4.5,34.5
LTW42-250,5.0,47.0
LTW42-250,5.5,64.0
LTW42-250,6.0,81.0
LTW42-250,6.5,104.5
LTW42-250,7.0,128.0
LTW42-250,7.5,159.0
LTW42-250,8.0,190.0
LTW42-250,8.5,212.0
LTW42-250,9.0,234.0
LTW42-250,9.5,241.5
LTW42-250,10.0,249.0
LTW42-250,10.5,249.5
LTW42-250,11.0,250.0
LTW42-250,11.5,250.0
LTW42-250,12.0,250.0
LTW42-250,12.5,250.0
LTW42-250,13.0,250.0
LTW42-250,13.5,250.0
LTW42-250,14.0,250.0
LTW42-250,14.5,250.0
LTW42-250,15.0,250.0
LTW42-250,15.5,250.0
LTW42-250,16.0,250.0
LTW42-250,16.5,250.0
LTW42-250,17.0,250.0
LTW42-250,17.5,250.0
LTW42-250,18.0,250.0
LTW42-250,18.5,250.0
LTW42-250,19.0,250.0
LTW42-250,19.5,250.0
LTW42-250,20.0,250.0
LTW42-250,20.5,0.0
LTW42-250,21.0,0.0
LTW42-250,21.5,0.0
LTW42-250,22.0,0.0
LTW42-250,22.5,0.0
LTW42-250,23.0,0.0
LTW42-250,23.5,0.0
LTW42-250,24.0,0.0
LTW42-250,24.5,0.0
LTW42-250,25.0,0.0
LTW42-500,0.0,0.0
LTW42-500,0.5,0.0
LTW42-500,1.0,0.0
LTW42-500,1.5,0.0
LTW42-500,2.0,0.0
LTW42-500,2.5,0.0
LTW42-500,3.0,0.0
LTW42-500,3.5,7.0
LTW42-500,4.0,14.0
LTW42-500,4.5,27.0
LTW42-500,5.0,40.0
LTW42-500,5.5,57.0
LTW42-500,6.0,74.0
LTW42-500,6.5,99.0
LTW42-500,7.0,124.0
LTW42-500,7.5,156.0
LTW42-500,8.0,188.0
LTW42-500,8.5,229.0
LTW42-500,9.0,270.0
LTW42-500,9.5,315.0
LTW42-500,10.0,360.0
LTW42-500,10.5,399.5
LTW42-500,11.0,439.0
LTW42-500,11.5,461.0
LTW42-500,12.0,483.0
LTW42-500,12.5,489.5
LTW42-500,13.0,496.0
LTW42-500,13.5,498.0
LTW42-500,14.0,500.0
LTW42-500,14.5,500.0
LTW42-500,15.0,500.0
LTW42-500,15.5,500.0
LTW42-500,16.0,500.0
LTW42-500,16.5,500.0
LTW42-500,17.0,500.0
LTW42-500,17.5,500.0
LTW42-500,18.0,500.0
LTW42-500,18.5,500.0
LTW42-500,19.0,500.0
LTW42-500,19.5,500.0
