hour_of_year,demand_wh,ghi_wm2,egen_wh,delta_e_wh,block_id,battery_soc_wh
1,261300.0,0.0,0.0,-261300.0,1,8738700.0
2,261300.0,0.0,0.0,-261300.0,1,8477400.0
3,282300.0,17.7,30090.0,-252210.0,1,8225190.0
4,282300.0,174.1,295970.0,13670.0,2,8238860.0
5,281400.0,348.51,592467.0,311067.0,2,8549927.0
6,307440.0,523.16,889371.9999999999,581931.9999999999,2,9000000.0
7,366100.0,626.06,1064302.0,698202.0,2,9000000.0
8,366900.0,627.56,1066851.9999999998,699951.9999999998,2,9000000.0
9,356280.0,641.91,1091247.0,734967.0,2,9000000.0
10,356280.0,480.56,816952.0,460672.0,2,9000000.0
11,396400.0,341.71,580906.9999999999,184506.99999999988,2,9000000.0
12,392591.0,188.7,320789.99999999994,-71801.00000000006,3,8928199.0
13,332500.0,34.59,58803.0,-273697.0,3,8654502.0
14,332500.0,0.0,0.0,-332500.0,3,8322002.0
15,345590.0,0.0,0.0,-345590.0,3,7976412.0
16,337811.0,0.0,0.0,-337811.0,3,7638601.0
17,350760.0,0.0,0.0,-350760.0,3,7287841.0
18,373200.0,0.0,0.0,-373200.0,3,6914641.0
19,425400.0,0.0,0.0,-425400.0,3,6489241.0
20,374680.0,0.0,0.0,-374680.0,3,6114561.0
21,374680.0,0.0,0.0,-374680.0,3,5739881.0
22,347460.0,0.0,0.0,-347460.0,3,5392421.0
23,283440.0,0.0,0.0,-283440.0,3,5108981.0
24,254100.0,0.0,0.0,-254100.0,3,4854881.0
25,261300.0,0.0,0.0,-261300.0,3,4593581.0
26,261300.0,0.0,0.0,-261300.0,3,4332281.0
27,282300.0,13.55,23035.000000000004,-259265.0,3,4073016.0
28,282300.0,158.75,269875.0,-12425.0,3,4060591.0
29,281400.0,301.96,513332.0,231932.0,4,4292523.0
30,307440.0,426.81,725577.0,418137.0,4,4710660.0
31,366100.0,354.35,602395.0,236295.0,4,4946955.0
32,366900.0,384.6,653820.0,286920.0,4,5233875.0
33,356280.0,264.85,450245.00000000006,93965.00000000006,4,5327840.0
34,356280.0,245.2,416840.0,60560.0,4,5388400.0
35,396400.0,155.45,264264.99999999994,-132135.00000000006,5,5256265.0
36,392591.0,87.0,147900.0,-244691.0,5,5011574.0
37,332500.0,27.2,46240.0,-286260.0,5,4725314.0
38,332500.0,0.0,0.0,-332500.0,5,4392814.0
39,345590.0,0.0,0.0,-345590.0,5,4047224.0
40,337811.0,0.0,0.0,-337811.0,5,3709413.0
41,350760.0,0.0,0.0,-350760.0,5,3358653.0
42,373200.0,0.0,0.0,-373200.0,5,2985453.0
43,425400.0,0.0,0.0,-425400.0,5,2560053.0
44,374680.0,0.0,0.0,-374680.0,5,2185373.0
45,374680.0,0.0,0.0,-374680.0,5,1810693.0
46,347460.0,0.0,0.0,-347460.0,5,1463233.0
47,283440.0,0.0,0.0,-283440.0,5,1179793.0
48,254100.0,0.0,0.0,-254100.0,5,925693.0
49,404660.0,0.0,0.0,-404660.0,5,521033.0
50,360260.0,0.0,0.0,-360260.0,5,160773.0
51,344120.0,14.35,24395.0,-319725.0,5,0.0
52,332420.0,186.26,316641.99999999994,-15778.000000000058,5,0.0
53,331520.0,381.26,648142.0,316622.0,6,316622.0
54,338420.0,543.61,924137.0,585717.0,6,902339.0
55,357340.0,652.21,1108757.0000000002,751417.0000000002,6,1653756.0000000002
56,414160.0,693.21,1178457.0,764297.0,6,2418053.0
57,451060.0,662.16,1125672.0,674612.0,6,3092665.0
58,453760.0,566.16,962472.0,508712.0,6,3601377.0
59,508960.0,416.66,708322.0000000001,199362.00000000012,6,3800739.0
60,456460.0,228.51,388467.0,-67993.0,7,3732746.0
61,443260.0,42.79,72743.0,-370517.0,7,3362229.0
62,1155260.0,0.0,0.0,-1155260.0,7,2206969.0
63,579280.0,0.0,0.0,-579280.0,7,1627689.0
64,462400.0,0.0,0.0,-462400.0,7,1165289.0
65,470380.0,0.0,0.0,-470380.0,7,694909.0
66,479600.0,0.0,0.0,-479600.0,7,215309.0
67,479600.0,0.0,0.0,-479600.0,7,0.0
68,421080.0,0.0,0.0,-421080.0,7,0.0
69,421380.0,0.0,0.0,-421380.0,7,0.0
70,402380.0,0.0,0.0,-402380.0,7,0.0
71,402380.0,0.0,0.0,-402380.0,7,0.0
72,402380.0,0.0,0.0,-402380.0,7,0.0
73,404660.0,0.0,0.0,-404660.0,7,0.0
74,360260.0,0.0,0.0,-360260.0,7,0.0
75,344120.0,14.95,25415.0,-318705.0,7,0.0
76,332420.0,180.91,307547.0,-24873.0,7,0.0
77,331520.0,353.71,601306.9999999999,269786.9999999999,8,269786.9999999999
78,338420.0,520.31,884526.9999999999,546106.9999999999,8,815893.9999999998
79,357340.0,637.61,1083937.0,726597.0,8,1542490.9999999998
80,414160.0,684.91,1164347.0,750187.0,8,2292678.0
81,451060.0,633.41,1076796.9999999998,625736.9999999998,8,2918415.0
82,453760.0,555.76,944792.0,491032.0,8,3409447.0
83,508960.0,401.66,682822.0,173862.0,8,3583309.0
84,456460.0,226.51,385067.0,-71393.0,9,3511916.0
85,443260.0,43.66,74222.0,-369038.0,9,3142878.0
86,1155260.0,0.0,0.0,-1155260.0,9,1987618.0
87,579280.0,0.0,0.0,-579280.0,9,1408338.0
88,462400.0,0.0,0.0,-462400.0,9,945938.0
89,470380.0,0.0,0.0,-470380.0,9,475558.0
90,479600.0,0.0,0.0,-479600.0,9,0.0
91,479600.0,0.0,0.0,-479600.0,9,0.0
92,421080.0,0.0,0.0,-421080.0,9,0.0
93,421380.0,0.0,0.0,-421380.0,9,0.0
94,402380.0,0.0,0.0,-402380.0,9,0.0
95,402380.0,0.0,0.0,-402380.0,9,0.0
96,402380.0,0.0,0.0,-402380.0,9,0.0
97,261300.0,0.0,0.0,-261300.0,9,0.0
98,261300.0,0.0,0.0,-261300.0,9,0.0
99,282300.0,13.05,22185.0,-260115.0,9,0.0
100,282300.0,170.95,290615.0,8315.0,10,8315.0
101,281400.0,345.66,587622.0,306222.0,10,314537.0
102,307440.0,515.66,876622.0,569182.0,10,883719.0
103,366100.0,552.16,938672.0,572572.0,10,1456291.0
104,366900.0,641.81,1091077.0,724177.0,10,2180468.0
105,356280.0,596.01,1013217.0,656937.0,10,2837405.0
106,356280.0,507.91,863447.0,507167.0,10,3344572.0
107,396400.0,385.76,655792.0,259392.0,10,3603964.0
108,392591.0,225.46,383282.00000000006,-9308.999999999942,11,3594655.0
109,332500.0,44.96,76432.0,-256068.0,11,3338587.0
110,332500.0,0.0,0.0,-332500.0,11,3006087.0
111,345590.0,0.0,0.0,-345590.0,11,2660497.0
112,337811.0,0.0,0.0,-337811.0,11,2322686.0
113,350760.0,0.0,0.0,-350760.0,11,1971926.0
114,373200.0,0.0,0.0,-373200.0,11,1598726.0
