hour_of_year,demand_wh,ghi_wm2,egen_wh,deficit_wh,generator_output_wh
1,261300.0,0.0,0.0,261300.0,261300.0
2,261300.0,0.0,0.0,261300.0,261300.0
3,282300.0,17.7,7522.5,274777.5,274777.5
4,282300.0,174.1,73992.5,208307.5,208307.5
5,281400.0,348.51,148116.75,133283.25,133283.25
6,307440.0,523.16,222342.99999999997,85097.00000000003,85097.00000000003
7,366100.0,626.06,266075.5,100024.5,100024.5
8,366900.0,627.56,266712.99999999994,100187.00000000006,100187.00000000006
9,356280.0,641.91,272811.75,83468.25,83468.25
10,356280.0,480.56,204238.0,152042.0,152042.0
11,396400.0,341.71,145226.74999999997,251173.25000000003,251173.25000000003
12,392591.0,188.7,80197.49999999999,312393.5,312393.5
13,332500.0,34.59,14700.75,317799.25,317799.25
14,332500.0,0.0,0.0,332500.0,332500.0
15,345590.0,0.0,0.0,345590.0,345590.0
16,337811.0,0.0,0.0,337811.0,337811.0
17,350760.0,0.0,0.0,350760.0,350760.0
18,373200.0,0.0,0.0,373200.0,373200.0
19,425400.0,0.0,0.0,425400.0,425400.0
20,374680.0,0.0,0.0,374680.0,374680.0
21,374680.0,0.0,0.0,374680.0,374680.0
22,347460.0,0.0,0.0,347460.0,347460.0
23,283440.0,0.0,0.0,283440.0,283440.0
24,254100.0,0.0,0.0,254100.0,254100.0
25,261300.0,0.0,0.0,261300.0,261300.0
26,261300.0,0.0,0.0,261300.0,261300.0
27,282300.0,13.55,5758.750000000001,276541.25,276541.25
28,282300.0,158.75,67468.75,214831.25,214831.25
29,281400.0,301.96,128333.0,153067.0,153067.0
30,307440.0,426.81,181394.25,126045.75,126045.75
31,366100.0,354.35,150598.75,215501.25,215501.25
32,366900.0,384.6,163455.0,203445.0,203445.0
33,356280.0,264.85,112561.25000000001,243718.75,243718.75
34,356280.0,245.2,104210.0,252070.0,252070.0
35,396400.0,155.45,66066.24999999999,330333.75,330333.75
36,392591.0,87.0,36975.0,355616.0,355616.0
37,332500.0,27.2,11560.0,320940.0,320940.0
38,332500.0,0.0,0.0,332500.0,332500.0
39,345590.0,0.0,0.0,345590.0,345590.0
40,337811.0,0.0,0.0,337811.0,337811.0
41,350760.0,0.0,0.0,350760.0,350760.0
42,373200.0,0.0,0.0,373200.0,373200.0
43,425400.0,0.0,0.0,425400.0,425400.0
44,374680.0,0.0,0.0,374680.0,374680.0
45,374680.0,0.0,0.0,374680.0,374680.0
46,347460.0,0.0,0.0,347460.0,347460.0
47,283440.0,0.0,0.0,283440.0,283440.0
48,254100.0,0.0,0.0,254100.0,254100.0
49,404660.0,0.0,0.0,404660.0,404660.0
50,360260.0,0.0,0.0,360260.0,360260.0
51,344120.0,14.35,6098.75,338021.25,338021.25
52,332420.0,186.26,79160.49999999999,253259.5,253259.5
53,331520.0,381.26,162035.5,169484.5,169484.5
54,338420.0,543.61,231034.25,107385.75,107385.75
55,357340.0,652.21,277189.25000000006,80150.74999999994,80150.74999999994
56,414160.0,693.21,294614.25,119545.75,119545.75
57,451060.0,662.16,281418.0,169642.0,169642.0
58,453760.0,566.16,240618.0,213142.0,213142.0
59,508960.0,416.66,177080.50000000003,331879.5,331879.5
60,456460.0,228.51,97116.75,359343.25,359343.25
61,443260.0,42.79,18185.75,425074.25,425074.25
62,1155260.0,0.0,0.0,1155260.0,1000000.0
63,579280.0,0.0,0.0,579280.0,579280.0
64,462400.0,0.0,0.0,462400.0,462400.0
65,470380.0,0.0,0.0,470380.0,470380.0
66,479600.0,0.0,0.0,479600.0,479600.0
67,479600.0,0.0,0.0,479600.0,479600.0
68,421080.0,0.0,0.0,421080.0,421080.0
69,421380.0,0.0,0.0,421380.0,421380.0
70,402380.0,0.0,0.0,402380.0,402380.0
71,402380.0,0.0,0.0,402380.0,402380.0
72,402380.0,0.0,0.0,402380.0,402380.0
73,404660.0,0.0,0.0,404660.0,404660.0
74,360260.0,0.0,0.0,360260.0,360260.0
75,344120.0,14.95,6353.75,337766.25,337766.25
76,332420.0,180.91,76886.75,255533.25,255533.25
77,331520.0,353.71,150326.74999999997,181193.25000000003,181193.25000000003
78,338420.0,520.31,221131.74999999997,117288.25000000003,117288.25000000003
79,357340.0,637.61,270984.25,86355.75,86355.75
80,414160.0,684.91,291086.75,123073.25,123073.25
81,451060.0,633.41,269199.24999999994,181860.75000000006,181860.75000000006
82,453760.0,555.76,236198.0,217562.0,217562.0
83,508960.0,401.66,170705.5,338254.5,338254.5
84,456460.0,226.51,96266.75,360193.25,360193.25
85,443260.0,43.66,18555.5,424704.5,424704.5
86,1155260.0,0.0,0.0,1155260.0,1000000.0
87,579280.0,0.0,0.0,579280.0,579280.0
88,462400.0,0.0,0.0,462400.0,462400.0
89,470380.0,0.0,0.0,470380.0,470380.0
90,479600.0,0.0,0.0,479600.0,479600.0
91,479600.0,0.0,0.0,479600.0,479600.0
92,421080.0,0.0,0.0,421080.0,421080.0
93,421380.0,0.0,0.0,421380.0,421380.0
94,402380.0,0.0,0.0,402380.0,402380.0
