hour_of_year,demand_wh,wind_speed_ms,egen_wh,delta_e_wh,block_id,battery_soc_wh
1,294675.96089413244,0.5234183335021404,0.0,-294675.96089413244,1,97705324.03910586
2,293885.17203642696,0.3838401112349029,0.0,-293885.17203642696,1,97411438.86706944
3,315296.87193599343,0.5234183335021404,0.0,-315296.87193599343,1,97096141.99513344
4,308806.25094018,3.035826334312414,13176.358709746211,-295629.89223043376,1,96800512.10290301
5,346643.7066499322,3.210299112146461,20853.160934444284,-325790.5457154879,1,96474721.55718753
6,359240.0966299311,3.9430847790494576,59653.38500810811,-299586.711621823,1,96175134.8455657
7,395096.0890297524,4.536292223685217,103709.85080009176,-291386.23822966067,1,95883748.60733604
8,407940.3110354876,3.9081902234826478,57601.58514077969,-350338.72589470795,1,95533409.88144134
9,417709.37108474574,2.651986223077511,3526.0803753982573,-414183.29070934746,1,95119226.590732
10,375738.5126606207,1.256204000405137,0.0,-375738.5126606207,1,94743488.07807137
11,459873.7136451428,2.9311426676119865,10002.509888598086,-449871.2037565447,1,94293616.87431483
12,398446.906617811,4.710765001519263,119621.76813855681,-278825.1384792542,1,94014791.73583558
13,339493.2040749121,5.792496224090355,240560.4970488353,-98932.70702607682,1,93915859.0288095
14,367905.1435801353,5.862285335223973,249856.4066518332,-118048.7369283021,1,93797810.2918812
15,411703.5873176939,5.443550668422261,195322.8343285554,-216380.75298913853,1,93581429.53889206
16,372757.440376076,5.443550668422261,195322.8343285554,-177434.6060475206,1,93403994.93284453
17,386414.2805429697,5.583128890689498,212672.76823984107,-173741.51230312863,1,93230253.4205414
18,405351.8566307671,5.792496224090355,240560.4970488353,-164791.3595819318,1,93065462.06095947
19,499575.13234325947,5.548234335122689,208024.8134383421,-291550.31890491734,1,92773911.74205455
20,419941.8236271539,4.536292223685217,103709.85080009176,-316231.9728270621,1,92457679.76922749
21,426636.0859460732,3.314982778846889,25459.242269263108,-401176.84367681004,1,92056502.92555068
22,365114.9400480376,2.2681461118426083,0.0,-365114.9400480376,1,91691387.98550265
23,346413.8159349672,0.7327856669029966,0.0,-346413.8159349672,1,91344974.16956767
24,310783.8492211229,0.8025747780366153,0.0,-310783.8492211229,1,91034190.32034655
25,292170.2022611882,0.5234183335021404,0.0,-292170.2022611882,1,90742020.11808535
