hour_of_year,demand_wh,wind_speed_ms,egen_wh,deficit_wh,generator_output_wh
1,294675.96089413244,5.778533779036606,477401.3987353519,0.0,0.0
2,293885.17203642696,6.19308076753271,593397.4425756561,0.0,0.0
3,315296.87193599343,6.63275181593767,729454.2217770582,0.0,0.0
4,308806.25094018,6.984488654661637,849888.9153561444,0.0,0.0
5,346643.7066499322,7.36134955329446,996559.9452487925,0.0,0.0
6,359240.0966299311,7.788458571744991,1177952.5384251922,0.0,0.0
7,395096.0890297524,8.328625859785369,1409222.861109855,0.0,0.0
8,407940.3110354876,9.019537507278876,1675555.0322186013,0.0,0.0
9,417709.37108474574,9.873755544179941,1906618.2552023388,0.0,0.0
10,375738.5126606207,10.300864562630471,1974192.047316909,0.0,0.0
11,459873.7136451428,9.748135244635666,1878177.8193855148,0.0,0.0
12,398446.906617811,8.944165327552312,1648561.4954217114,0.0,0.0
13,339493.2040749121,8.152757440423386,1335358.1249778222,0.0,0.0
14,367905.1435801353,7.449283762975451,1030959.8080759966,0.0,0.0
15,411703.5873176939,7.072422864342629,883531.8245308365,0.0,0.0
16,372757.440376076,6.569941666165533,707948.0264950787,0.0,0.0
17,386414.2805429697,5.879030018672025,504173.59697422746,0.0,0.0
18,405351.8566307671,6.431759336666832,663855.3561840488,0.0,0.0
19,499575.13234325947,6.846306325162936,802575.2857357893,0.0,0.0
20,419941.8236271539,6.946802564798356,836985.1981869569,0.0,0.0
21,426636.0859460732,6.858868355117363,806876.5247921853,0.0,0.0
22,365114.9400480376,6.758372115481944,772466.6123410175,0.0,0.0
23,346413.8159349672,6.73324805557309,763864.134228226,0.0,0.0
24,310783.8492211229,6.758372115481944,772466.6123410175,0.0,0.0
25,292170.2022611882,6.783496175390799,781069.0904538096,0.0,0.0
26,318928.84438062034,6.934240534843927,832683.9591305607,0.0,0.0
27,308981.111032155,7.185481133932475,927760.2195943842,0.0,0.0
28,293350.6614720746,7.36134955329446,996559.9452487925,0.0,0.0
29,321818.801189742,7.4241597030665964,1021131.2758396525,0.0,0.0
30,350752.0234400805,7.486969852838733,1045702.6064305124,0.0,0.0
31,441358.0113743993,7.738210451927282,1155803.1672095458,0.0,0.0
32,431471.7741548584,8.27837773996766,1388118.650786417,0.0,0.0
33,410728.6867386722,8.6175525487372,1525493.800364177,0.0,0.0
34,390401.7840290093,8.479370219238499,1472535.4920801695,0.0,0.0
35,427049.3985751564,7.31110143347675,976902.8807761046,0.0,0.0
36,455725.0443948312,6.105146557851719,567439.2638778274,0.0,0.0
37,364822.5429994007,5.024811981770962,297518.184745862,67304.35825353872,67304.35825353872
38,371195.6240465962,4.195718004778753,155279.41351490142,215916.21053169476,215916.21053169476
39,366337.8698301222,3.668112746692802,86970.05901107354,279367.81081904867,279367.81081904867
40,399771.30185287487,3.529930417194101,70719.81706202627,329051.48479084857,329051.48479084857
41,410564.5492474937,3.3917480876953996,57673.83171719517,352890.7175302985,352890.7175302985
42,427154.8107251927,4.346462364231882,177830.76968908953,249324.04103610318,249324.04103610318
43,456132.69114629895,5.188118371178518,333837.5257501025,122295.16539619648,122295.16539619648
44,469998.7544212255,5.765971749082179,474054.87395549245,0.0,0.0
45,435389.6544180193,5.891592048626453,507520.12175408716,0.0,0.0
46,407634.6454097018,5.728285659218896,464015.2996159139,0.0,0.0
47,321424.3128102218,5.401672880403784,381332.0486018016,0.0,0.0
48,312329.75743702013,4.999687921862107,291943.07694764837,20386.680489371764,20386.680489371764
49,470419.3559948173,4.660513113092567,230077.5918280843,240341.764166733,240341.764166733
50,430197.7320769663,4.434396573912874,190985.72745736598,239212.00461960034,239212.00461960034
51,374000.3341322519,4.35902439418631,179710.04937027197,194290.28476197994,194290.28476197994
52,377450.3185633048,4.396710484049592,185347.888413819,192102.4301494858,192102.4301494858
53,368014.4137681268,4.5223307835938655,204873.13492752108,163141.27884060572,163141.27884060572
54,400238.1356708886,4.6353890531837125,225494.96330070918,174743.1723701794,174743.1723701794
55,439913.8567127117,4.660513113092567,230077.5918280843,209836.2648846274,209836.2648846274
56,491471.0222032119,5.502169120039203,403777.85357844364,87693.16862476827,87693.16862476827
57,456337.1106758976,5.376548820494929,375744.45767807233,80592.6529978253,80592.6529978253
58,544211.0420129035,4.874067622317833,269029.9343107727,275181.1077021308,275181.1077021308
59,597421.2651114224,3.994725525507915,125379.72179973079,472041.5433116916,472041.5433116916
60,466403.35631180747,3.0902593687891415,31142.824453444453,435260.531858363,435260.531858363
61,494367.8459034603,2.2611653917969328,0.0,494367.8459034603,494367.8459034603
62,1292009.2521599554,1.8968665231185382,0.0,1292009.2521599554,1292009.2521599554
63,713539.4570712117,2.198355242024796,0.0,713539.4570712117,713539.4570712117
64,552677.9106393747,2.5249680208399083,1158.5161669717472,551519.394472403,551519.394472403
65,470178.3537582652,2.6129022305209,5238.663496169769,464939.6902620954,464939.6902620954
